sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:32:09.677658+00:00;P2;13.67
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:32:09.677658+00:00;P1;13.67
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:32:09.677658+00:00;P0;11.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:32:22.136685+00:00;humidity;64.30
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:32:22.136685+00:00;temperature;31.30
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:34:59.279593+00:00;P2;10.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:34:59.279593+00:00;P1;11.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:34:59.279593+00:00;P0;7.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:35:17.717447+00:00;humidity;64.30
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:35:17.717447+00:00;temperature;31.70
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:37:55.197737+00:00;P2;16.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:37:55.197737+00:00;P1;16.25
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:37:55.197737+00:00;P0;9.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:38:07.614109+00:00;humidity;63.90
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:38:07.614109+00:00;temperature;31.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:45:17.672114+00:00;P2;12.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:45:17.672114+00:00;P1;14.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:45:17.672114+00:00;P0;9.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:45:30.312419+00:00;humidity;64.10
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:45:30.312419+00:00;temperature;31.30
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:48:13.460904+00:00;P2;11.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:48:13.460904+00:00;P1;12.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:48:13.460904+00:00;P0;7.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:49:13.852264+00:00;humidity;62.30
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:49:13.852264+00:00;temperature;31.90
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:51:14.422244+00:00;P2;9.67
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:51:14.422244+00:00;P1;9.67
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:51:14.422244+00:00;P0;6.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:51:27.155217+00:00;humidity;61.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:51:27.155217+00:00;temperature;32.30
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:54:04.734557+00:00;P2;10.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:54:04.734557+00:00;P1;10.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T14:54:04.734557+00:00;P0;8.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T14:54:17.272545+00:00;humidity;60.00
